Flight No.,Launch site,Payload mass,Orbit,Customer,Date,Time,Version Booster,Payload,Launch outcome,Booster landing
51,VAFB,"9,600 kg",Polar,Iridium Communications,30 March 2018,14:14,F9 B4B1041.2,Iridium NEXT,Success,No attempt
52,CCAFS,"2,647 kg",LEO,NASA,2 April 2018,20:30,F9 B4B1039.2,SpaceX CRS-14,Success,No attempt
53,CCAFS,362 kg,HEO,NASA,18 April 2018,22:51,F9 B4,Transiting Exoplanet Survey Satellite,Success,Success
54,KSC,"3,600 kg",GTO,Thales-Alenia,11 May 2018,20:14,F9 B5B1046.1,Bangabandhu-1,Success,Success
55,VAFB,"6,460 kg",Polar,Iridium Communications,22 May 2018,19:47,F9 B4B1043.2,Iridium NEXT,Success,No attempt
56,CCAFS,"5,384 kg",GTO,SES,4 June 2018,04:45,F9 B4B1040.2,SES-12,Success,No attempt
57,CCAFS,"2,697 kg",LEO,NASA,29 June 2018,09:42,F9 B4B1045.2,SpaceX CRS-15,Success,No attempt
58,CCAFS,"7,075 kg",GTO,Telesat,22 July 2018,05:50,F9 B5,Telstar 19V,Success,Success
59,VAFB,"9,600 kg",Polar,Iridium Communications,25 July 2018,11:39,F9 B5B1048,Iridium NEXT,Success,Success
60,CCAFS,"5,800 kg",GTO,Telkom Indonesia,7 August 2018,05:18,F9 B5B1046.2,Merah Putih,Success,Success
61,CCAFS,"7,060 kg",GTO,Telesat,10 September 2018,04:45,F9 B5,Telstar 18V,Success,Success
62,VAFB,"3,000 kg",SSO,CONAE,8 October 2018,02:22,F9 B5B1048.2,SAOCOM 1A,Success,Success
63,KSC,"5,300 kg",GTO,Es'hailSat,15 November 2018,20:46,F9 B5B1047.2,Es'hail 2,Success,Success
64,VAFB,"~4,000 kg",SSO,Spaceflight Industries,3 December 2018,18:34:05,F9 B5B1046.3,SSO-A,Success,Success
65,CCAFS,"2,500 kg",LEO,NASA,5 December 2018,18:16,F9 B5,SpaceX CRS-16,"Success
",Failure
66,CCAFS,"4,400 kg",MEO,USAF,23 December 2018,13:51,F9 B5,GPS III,Success,No attempt
67,VAFB,"9,600 kg",Polar,Iridium Communications,11 January 2019,15:31,F9 B5B1049.2,Iridium NEXT,"Success
",Success
68,CCAFS,"4,850 kg",GTO,PSN,22 February 2019,01:45,F9 B5B1048.3,Nusantara Satu,"Success
",Success
69,KSC,"12,055 kg",LEO,NASA,2 March 2019,07:49,F9 B5[268],Crew Dragon Demo-1,"Success
",Success
70,CCAFS,"2,495 kg",LEO,NASA,4 May 2019,06:48,F9 B5,SpaceX CRS-17,"Success
",Success
71,CCAFS,"13,620 kg",LEO,SpaceX,24 May 2019,02:30,F9 B5B1049.3,Starlink,"Success
",Success
72,VAFB,"4,200 kg",SSO,Canadian Space Agency,12 June 2019,14:17,F9 B5B1051.2,RADARSAT Constellation,"Success
",Success
73,CCAFS,"2,268 kg",LEO,NASA,25 July 2019,22:01,F9 B5B1056.2,SpaceX CRS-18,"Success
",Success
74,CCAFS,"6,500 kg",GTO,Spacecom,6 August 2019,23:23,F9 B5B1047.3,AMOS-17,"Success
",No attempt
75,CCAFS,"15,600 kg",LEO,SpaceX,11 November 2019,14:56,F9 B5,Starlink,"Success
",Success
76,CCAFS,"2,617 kg",LEO,NASA,5 December 2019,17:29,F9 B5,SpaceX CRS-19,"Success
",Success
77,CCAFS,"6,956 kg",GTO,Sky Perfect JSAT,17 December 2019,00:10,F9 B5B1056.3,JCSat-18,"Success
",Success
78,CCAFS,"15,600 kg",LEO,SpaceX,7 January 2020,02:19:21,F9 B5,Starlink,"Success
",Success
79,KSC,"12,050 kg",Sub-orbital,NASA,19 January 2020,15:30,F9 B5,Crew Dragon in-flight abort test,"Success
","No attempt
"
80,CCAFS,"15,600 kg",LEO,SpaceX,29 January 2020,14:07,F9 B5,Starlink,"Success
",Success
81,CCAFS,"15,600 kg",LEO,SpaceX,17 February 2020,15:05,F9 B5,Starlink,"Success
",Failure
82,CCAFS,"1,977 kg",LEO,NASA,7 March 2020,04:50,F9 B5,SpaceX CRS-20,"Success
",Success
83,KSC,"15,600 kg",LEO,SpaceX,18 March 2020,12:16,F9 B5,Starlink,"Success
",Failure
84,KSC,"15,600 kg",LEO,SpaceX,22 April 2020,19:30,F9 B5,Starlink,"Success
",Success
85,KSC,"12,530 kg",LEO,NASA,30 May 2020,19:22,F9 B5,Crew Dragon Demo-2,"Success
",Success
86,CCAFS,"15,600 kg",LEO,SpaceX,4 June 2020,01:25,F9 B5,Starlink,"Success
",Success
87,CCAFS,"15,410 kg",LEO,SpaceX,13 June 2020,09:21,F9 B5,Starlink,"Success
",Success
88,CCAFS,"4,311 kg",MEO,U.S. Space Force,30 June 2020,20:10:46,F9 B5,GPS III,"Success
",Success
89,CCAFS,"5,000–6,000 kg",GTO,Republic of Korea Army,20 July 2020,21:30,F9 B5B1058.2,ANASIS-II,"Success
",Success
90,KSC,"14,932 kg",LEO,SpaceX,7 August 2020,05:12,F9 B5,Starlink,"Success
",Success
91,CCAFS,"~15,440 kg",LEO,SpaceX,18 August 2020,14:31,F9 B5B1049.6,Starlink,"Success
",Success
92,CCAFS,"3,130 kg",SSO,CONAE,30 August 2020,23:18,F9 B5,SAOCOM 1B,"Success
",Success
93,KSC,"15,600 kg",LEO,SpaceX,3 September 2020,12:46:14,F9 B5B1060.2,Starlink,"Success
",Success
94,KSC,"15,600 kg",LEO,SpaceX,6 October 2020,11:29:34,F9 B5B1058.3,Starlink,"Success
",Success
95,KSC,"15,600 kg",LEO,SpaceX,18 October 2020,12:25:57,F9 B5B1051.6,Starlink,"Success
",Success
96,CCAFS,"15,600 kg",LEO,SpaceX,24 October 2020,15:31:34,F9 B5,Starlink,"Success
",Success
97,CCAFS,"4,311 kg",MEO,USSF,5 November 2020,23:24:23,F9 B5,GPS III,"Success
",Success
98,KSC,"~12,500 kg",LEO,NASA,16 November 2020,00:27,F9 B5,Crew-1,"Success
",Success
99,VAFB,"1,192 kg",LEO,NASA,21 November 2020,17:17:08,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",Success
100,CCAFS,"15,600 kg",LEO,SpaceX,25 November 2020,02:13,F9 B5 ♺,Starlink,"Success
",Success
101,KSC,"2,972 kg",LEO,NASA,6 December 2020,16:17:08,F9 B5 ♺,SpaceX CRS-21,"Success
",Success
102,CCSFS,"7,000 kg",GTO,Sirius XM,13 December 2020,17:30:00,F9 B5 ♺,SXM-7,"Success
",Success
103,KSC,C,LEO,NRO,19 December 2020,14:00:00,F9 B5 ♺,NROL-108,"Success
",Success
104,CCSFS,"3,500 kg",GTO,Türksat,8 January 2021,02:15,F9 B5,Türksat 5A,"Success
",Success
105,KSC,"15,600 kg",LEO,SpaceX,20 January 2021,13:02,F9 B5B1051.8,Starlink,"Success
",Success
106,CCSFS,"~5,000 kg",SSO,N/A,24 January 2021,15:00,F9 B5B1058.5,Transporter-1,"Success
",Success
107,CCSFS,"15,600 kg",LEO,SpaceX,4 February 2021,06:19,F9 B5 ♺,Starlink,"Success
",Success
108,CCSFS,"15,600 kg",LEO,SpaceX,16 February 2021,03:59:37,F9 B5 ♺,Starlink,"Success
",Failure
109,KSC,"15,600 kg",LEO,SpaceX,4 March 2021,08:24,F9 B5 ♺,Starlink,"Success
",Success
110,CCSFS,"15,600 kg",LEO,SpaceX,11 March 2021,08:13:29,F9 B5 ♺,Starlink,"Success
",Success
111,KSC,"15,600 kg",LEO,SpaceX,14 March 2021,10:01,F9 B5 ♺,Starlink,"Success
",Success
112,CCSFS,"15,600 kg",LEO,SpaceX,24 March 2021,08:28,F9 B5B1060.6,Starlink,"Success
",Success
113,CCSFS,"15,600 kg",LEO,SpaceX,7 April 2021,16:34,F9 B5 ♺,Starlink,"Success
",Success
114,KSC,"~13,000 kg",LEO,NASA,23 April 2021,9:49,F9 B5B1061.2,Crew-2,"Success
",Success
115,CCSFS,"15,600 kg",LEO,SpaceX,29 April 2021,03:44,F9 B5B1060.7,Starlink,"Success
",Success
116,KSC,"15,600 kg",LEO,SpaceX,4 May 2021,19:01,F9 B5B1049.9,Starlink,"Success
",Success
117,CCSFS,"15,600 kg",LEO,SpaceX,9 May 2021,06:42,F9 B5B1051.10,Starlink,"Success
",Success
118,KSC,"~14,000 kg",LEO,SpaceX,15 May 2021,22:56,F9 B5B1058.8,Starlink,"Success
",Success
119,CCSFS,"15,600 kg",LEO,SpaceX,26 May 2021,18:59,F9 B5B1063.2,Starlink,"Success
",Success
120,KSC,"3,328 kg",LEO,NASA,3 June 2021,17:29,F9 B5B1067.1,SpaceX CRS-22,"Success
",Success
121,CCSFS,"7,000 kg",GTO,Sirius XM,6 June 2021,04:26,F9 B5,SXM-8,"Success
",Success
